Test,VI,Execution Time (ms)
NetworkStream\Test_NetworkStream_Sweep_BufferSize.vi,Load_Sweep_Parameters.vi,26084
NetworkStream\Test_NetworkStream_Sweep_BufferSize.vi,Load_Sweep_Parameters.vi,18655
NetworkStream\Test_NetworkStream_Sweep_BufferSize.vi,Test_NetworkStream_Sweep_BufferSize.vi,30433
NetworkStream\Test_NetworkStream_Sweep_BufferSize_SMP.vi,Load_Sweep_Parameters.vi,18644
NetworkStream\Test_NetworkStream_Sweep_BufferSize_SMP.vi,Load_Sweep_Parameters.vi,18648
NetworkStream\Test_NetworkStream_Sweep_BufferSize_SMP.vi,Test_NetworkStream_Sweep_BufferSize_SMP.vi,30509
NetworkStream\Test_NetworkStream_Sweep_NumElements.vi,Load_Sweep_Parameters.vi,18630
NetworkStream\Test_NetworkStream_Sweep_NumElements.vi,Load_Sweep_Parameters.vi,18636
NetworkStream\Test_NetworkStream_Sweep_NumElements.vi,Test_NetworkStream_Sweep_NumElements.vi,30505
NetworkStream\Test_NetworkStream_Sweep_NumElements_SMP.vi,Load_Sweep_Parameters.vi,18643
NetworkStream\Test_NetworkStream_Sweep_NumElements_SMP.vi,Load_Sweep_Parameters.vi,18642
NetworkStream\Test_NetworkStream_Sweep_NumElements_SMP.vi,Test_NetworkStream_Sweep_NumElements_SMP.vi,30494
NetworkStream\Test_NetworkStream_Throughput.vi,Load_Parameters.vi,18633
NetworkStream\Test_NetworkStream_Throughput.vi,Load_Parameters.vi,18636
NetworkStream\Test_NetworkStream_Throughput.vi,Test_NetworkStream_Throughput.vi,5171
NetworkStream\Test_NetworkStream_Throughput_SMP.vi,Load_Parameters.vi,18654
NetworkStream\Test_NetworkStream_Throughput_SMP.vi,Load_Parameters.vi,18630
NetworkStream\Test_NetworkStream_Throughput_SMP.vi,Test_NetworkStream_Throughput_SMP.vi,5172
TCP\Test_TCP_Sweep_NumElements.vi,Load_Sweep_Parameters.vi,18643
TCP\Test_TCP_Sweep_NumElements.vi,Load_Sweep_Parameters.vi,18461
TCP\Test_TCP_Sweep_NumElements.vi,Test_TCP_Sweep_NumElements.vi,30887
TCP\Test_TCP_Sweep_NumElements_SMP.vi,Load_Sweep_Parameters.vi,18658
TCP\Test_TCP_Sweep_NumElements_SMP.vi,Load_Sweep_Parameters.vi,18632
TCP\Test_TCP_Sweep_NumElements_SMP.vi,Test_TCP_Sweep_NumElements_SMP.vi,34810
TCP\Test_TCP_Throughput.vi,Load_Parameters.vi,18451
TCP\Test_TCP_Throughput.vi,Load_Parameters.vi,18638
TCP\Test_TCP_Throughput.vi,Test_TCP_Throughput.vi,5260
TCP\Test_TCP_Throughput_SMP.vi,Load_Parameters.vi,18636
TCP\Test_TCP_Throughput_SMP.vi,Load_Parameters.vi,18652
TCP\Test_TCP_Throughput_SMP.vi,Test_TCP_Throughput_SMP.vi,5161
